Spectrum,Nutrient,Concentration,Intensity,File
782.3585,D1-CNR-Glucose,10.1,0.0000000000,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
784.4317,D1-CNR-Glucose,10.1,0.4853665113,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
786.5042,D1-CNR-Glucose,10.1,0.0000000000,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
788.5761,D1-CNR-Glucose,10.1,4.2893269981,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
790.6473,D1-CNR-Glucose,10.1,66.2227815849,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
792.7179,D1-CNR-Glucose,10.1,53.8427265244,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
794.7878,D1-CNR-Glucose,10.1,0.0000000000,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
796.857,D1-CNR-Glucose,10.1,190.7804292724,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
798.9255,D1-CNR-Glucose,10.1,103.3605827877,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
800.9934,D1-CNR-Glucose,10.1,99.3749332795,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
803.0606,D1-CNR-Glucose,10.1,119.9763820602,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
805.1272,D1-CNR-Glucose,10.1,145.6983464241,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
807.193,D1-CNR-Glucose,10.1,183.2057545390,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
809.2582,D1-CNR-Glucose,10.1,192.3638444687,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
811.3228,D1-CNR-Glucose,10.1,157.7352675052,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
813.3866,D1-CNR-Glucose,10.1,91.3454336720,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
815.4498,D1-CNR-Glucose,10.1,126.6598130829,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
817.5123,D1-CNR-Glucose,10.1,119.0179973024,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
819.5742,D1-CNR-Glucose,10.1,158.7474940696,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
821.6354,D1-CNR-Glucose,10.1,194.3634431341,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
823.6959,D1-CNR-Glucose,10.1,141.2326135824,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
