Spectrum,Nutrient,Concentration,Intensity,File
782.3585,D1-CNR-Nitrate,12.2,0.0000000000,COR-D1-CNR-Nitrate-12.2gL-10sx10-450mW.txt
784.4317,D1-CNR-Nitrate,12.2,33.5697918634,COR-D1-CNR-Nitrate-12.2gL-10sx10-450mW.txt
786.5042,D1-CNR-Nitrate,12.2,0.0000000000,COR-D1-CNR-Nitrate-12.2gL-10sx10-450mW.txt
788.5761,D1-CNR-Nitrate,12.2,57.0065283291,COR-D1-CNR-Nitrate-12.2gL-10sx10-450mW.txt
790.6473,D1-CNR-Nitrate,12.2,27.7552606983,COR-D1-CNR-Nitrate-12.2gL-10sx10-450mW.txt
792.7179,D1-CNR-Nitrate,12.2,27.9570772311,COR-D1-CNR-Nitrate-12.2gL-10sx10-450mW.txt
794.7878,D1-CNR-Nitrate,12.2,11.3779529374,COR-D1-CNR-Nitrate-12.2gL-10sx10-450mW.txt
796.857,D1-CNR-Nitrate,12.2,95.7951025333,COR-D1-CNR-Nitrate-12.2gL-10sx10-450mW.txt
798.9255,D1-CNR-Nitrate,12.2,65.7593422677,COR-D1-CNR-Nitrate-12.2gL-10sx10-450mW.txt
800.9934,D1-CNR-Nitrate,12.2,40.7816782256,COR-D1-CNR-Nitrate-12.2gL-10sx10-450mW.txt
803.0606,D1-CNR-Nitrate,12.2,55.9938686656,COR-D1-CNR-Nitrate-12.2gL-10sx10-450mW.txt
805.1272,D1-CNR-Nitrate,12.2,-0.0000000000,COR-D1-CNR-Nitrate-12.2gL-10sx10-450mW.txt
807.193,D1-CNR-Nitrate,12.2,53.1380549262,COR-D1-CNR-Nitrate-12.2gL-10sx10-450mW.txt
809.2582,D1-CNR-Nitrate,12.2,84.5518985927,COR-D1-CNR-Nitrate-12.2gL-10sx10-450mW.txt
811.3228,D1-CNR-Nitrate,12.2,89.8059971330,COR-D1-CNR-Nitrate-12.2gL-10sx10-450mW.txt
813.3866,D1-CNR-Nitrate,12.2,43.4188255946,COR-D1-CNR-Nitrate-12.2gL-10sx10-450mW.txt
815.4498,D1-CNR-Nitrate,12.2,82.8303406826,COR-D1-CNR-Nitrate-12.2gL-10sx10-450mW.txt
817.5123,D1-CNR-Nitrate,12.2,80.1865076167,COR-D1-CNR-Nitrate-12.2gL-10sx10-450mW.txt
819.5742,D1-CNR-Nitrate,12.2,109.4680717886,COR-D1-CNR-Nitrate-12.2gL-10sx10-450mW.txt
821.6354,D1-CNR-Nitrate,12.2,208.6040880248,COR-D1-CNR-Nitrate-12.2gL-10sx10-450mW.txt
823.6959,D1-CNR-Nitrate,12.2,188.8859738406,COR-D1-CNR-Nitrate-12.2gL-10sx10-450mW.txt
825.7557,D1-CNR-Nitrate,12.2,133.5091943313,COR-D1-CNR-Nitrate-12.2gL-10sx10-450mW.txt
827.8149,D1-CNR-Nitrate,12.2,293.4712025452,COR-D1-CNR-Nitrate-12.2gL-10sx10-450mW.txt
829.8733,D1-CNR-Nitrate,12.2,135.3270045677,COR-D1-CNR-Nitrate-12.2gL-10sx10-450mW.txt
831.9311,D1-CNR-Nitrate,12.2,203.1831708792,COR-D1-CNR-Nitrate-12.2gL-10sx10-450mW.txt
833.9883,D1-CNR-Nitrate,12.2,257.0217677246,COR-D1-CNR-Nitrate-12.2gL-10sx10-450mW.txt
836.0447,D1-CNR-Nitrate,12.2,274.9299944504,COR-D1-CNR-Nitrate-12.2gL-10sx10-450mW.txt
838.1005,D1-CNR-Nitrate,12.2,402.7939122525,COR-D1-CNR-Nitrate-12.2gL-10sx10-450mW.txt
840.1556,D1-CNR-Nitrate,12.2,434.5275048217,COR-D1-CNR-Nitrate-12.2gL-10sx10-450mW.txt
842.2101,D1-CNR-Nitrate,12.2,483.8238429847,COR-D1-CNR-Nitrate-12.2gL-10sx10-450mW.txt
844.2638,D1-CNR-Nitrate,12.2,479.7881895131,COR-D1-CNR-Nitrate-12.2gL-10sx10-450mW.txt
846.3169,D1-CNR-Nitrate,12.2,619.5243273306,COR-D1-CNR-Nitrate-12.2gL-10sx10-450mW.txt
848.3693,D1-CNR-Nitrate,12.2,614.4320169526,COR-D1-CNR-Nitrate-12.2gL-10sx10-450mW.txt
850.421,D1-CNR-Nitrate,12.2,582.7985941140,COR-D1-CNR-Nitrate-12.2gL-10sx10-450mW.txt
852.4721,D1-CNR-Nitrate,12.2,500.9543961595,COR-D1-CNR-Nitrate-12.2gL-10sx10-450mW.txt
854.5224,D1-CNR-Nitrate,12.2,542.6169492271,COR-D1-CNR-Nitrate-12.2gL-10sx10-450mW.txt
856.5721,D1-CNR-Nitrate,12.2,537.2176641606,COR-D1-CNR-Nitrate-12.2gL-10sx10-450mW.txt
858.6211,D1-CNR-Nitrate,12.2,611.0075869897,COR-D1-CNR-Nitrate-12.2gL-10sx10-450mW.txt
860.6695,D1-CNR-Nitrate,12.2,672.0077652596,COR-D1-CNR-Nitrate-12.2gL-10sx10-450mW.txt
862.7171,D1-CNR-Nitrate,12.2,711.8156382405,COR-D1-CNR-Nitrate-12.2gL-10sx10-450mW.txt
864.7641,D1-CNR-Nitrate,12.2,893.2194806623,COR-D1-CNR-Nitrate-12.2gL-10sx10-450mW.txt
866.8104,D1-CNR-Nitrate,12.2,936.1685962616,COR-D1-CNR-Nitrate-12.2gL-10sx10-450mW.txt
868.856,D1-CNR-Nitrate,12.2,1088.6185516957,COR-D1-CNR-Nitrate-12.2gL-10sx10-450mW.txt
870.9009,D1-CNR-Nitrate,12.2,1345.5657051569,COR-D1-CNR-Nitrate-12.2gL-10sx10-450mW.txt
