Spectrum,Nutrient,Concentration,Intensity,File
782.3585,D1-CNR-Phosphate,2.07,-0.0000000000,COR-D1-CNR-Phosphate-2.07gL-10sx10-450mW.txt
784.4317,D1-CNR-Phosphate,2.07,5.5934978657,COR-D1-CNR-Phosphate-2.07gL-10sx10-450mW.txt
786.5042,D1-CNR-Phosphate,2.07,0.0000000000,COR-D1-CNR-Phosphate-2.07gL-10sx10-450mW.txt
788.5761,D1-CNR-Phosphate,2.07,114.0203906081,COR-D1-CNR-Phosphate-2.07gL-10sx10-450mW.txt
790.6473,D1-CNR-Phosphate,2.07,130.7935254540,COR-D1-CNR-Phosphate-2.07gL-10sx10-450mW.txt
792.7179,D1-CNR-Phosphate,2.07,104.1973871405,COR-D1-CNR-Phosphate-2.07gL-10sx10-450mW.txt
794.7878,D1-CNR-Phosphate,2.07,0.0000000000,COR-D1-CNR-Phosphate-2.07gL-10sx10-450mW.txt
796.857,D1-CNR-Phosphate,2.07,234.5623574196,COR-D1-CNR-Phosphate-2.07gL-10sx10-450mW.txt
798.9255,D1-CNR-Phosphate,2.07,136.7461064872,COR-D1-CNR-Phosphate-2.07gL-10sx10-450mW.txt
800.9934,D1-CNR-Phosphate,2.07,110.4717571402,COR-D1-CNR-Phosphate-2.07gL-10sx10-450mW.txt
803.0606,D1-CNR-Phosphate,2.07,177.4860562331,COR-D1-CNR-Phosphate-2.07gL-10sx10-450mW.txt
805.1272,D1-CNR-Phosphate,2.07,106.0714383553,COR-D1-CNR-Phosphate-2.07gL-10sx10-450mW.txt
807.193,D1-CNR-Phosphate,2.07,165.9816432055,COR-D1-CNR-Phosphate-2.07gL-10sx10-450mW.txt
809.2582,D1-CNR-Phosphate,2.07,103.9201520831,COR-D1-CNR-Phosphate-2.07gL-10sx10-450mW.txt
811.3228,D1-CNR-Phosphate,2.07,129.7713700284,COR-D1-CNR-Phosphate-2.07gL-10sx10-450mW.txt
813.3866,D1-CNR-Phosphate,2.07,71.2494961109,COR-D1-CNR-Phosphate-2.07gL-10sx10-450mW.txt
815.4498,D1-CNR-Phosphate,2.07,125.9398085672,COR-D1-CNR-Phosphate-2.07gL-10sx10-450mW.txt
817.5123,D1-CNR-Phosphate,2.07,79.7430548052,COR-D1-CNR-Phosphate-2.07gL-10sx10-450mW.txt
819.5742,D1-CNR-Phosphate,2.07,149.5822048233,COR-D1-CNR-Phosphate-2.07gL-10sx10-450mW.txt
821.6354,D1-CNR-Phosphate,2.07,146.8511296123,COR-D1-CNR-Phosphate-2.07gL-10sx10-450mW.txt
823.6959,D1-CNR-Phosphate,2.07,116.7449505847,COR-D1-CNR-Phosphate-2.07gL-10sx10-450mW.txt
825.7557,D1-CNR-Phosphate,2.07,161.5360176891,COR-D1-CNR-Phosphate-2.07gL-10sx10-450mW.txt
827.8149,D1-CNR-Phosphate,2.07,284.2611263906,COR-D1-CNR-Phosphate-2.07gL-10sx10-450mW.txt
829.8733,D1-CNR-Phosphate,2.07,213.9019219403,COR-D1-CNR-Phosphate-2.07gL-10sx10-450mW.txt
831.9311,D1-CNR-Phosphate,2.07,301.1491401928,COR-D1-CNR-Phosphate-2.07gL-10sx10-450mW.txt
833.9883,D1-CNR-Phosphate,2.07,318.4423454235,COR-D1-CNR-Phosphate-2.07gL-10sx10-450mW.txt
836.0447,D1-CNR-Phosphate,2.07,287.3707993433,COR-D1-CNR-Phosphate-2.07gL-10sx10-450mW.txt
838.1005,D1-CNR-Phosphate,2.07,423.6355743791,COR-D1-CNR-Phosphate-2.07gL-10sx10-450mW.txt
840.1556,D1-CNR-Phosphate,2.07,515.2322015298,COR-D1-CNR-Phosphate-2.07gL-10sx10-450mW.txt
842.2101,D1-CNR-Phosphate,2.07,629.3536778704,COR-D1-CNR-Phosphate-2.07gL-10sx10-450mW.txt
844.2638,D1-CNR-Phosphate,2.07,591.9299682174,COR-D1-CNR-Phosphate-2.07gL-10sx10-450mW.txt
846.3169,D1-CNR-Phosphate,2.07,753.0360101119,COR-D1-CNR-Phosphate-2.07gL-10sx10-450mW.txt
848.3693,D1-CNR-Phosphate,2.07,646.4047765225,COR-D1-CNR-Phosphate-2.07gL-10sx10-450mW.txt
850.421,D1-CNR-Phosphate,2.07,599.0003897341,COR-D1-CNR-Phosphate-2.07gL-10sx10-450mW.txt
852.4721,D1-CNR-Phosphate,2.07,567.7972557638,COR-D1-CNR-Phosphate-2.07gL-10sx10-450mW.txt
854.5224,D1-CNR-Phosphate,2.07,573.7256315795,COR-D1-CNR-Phosphate-2.07gL-10sx10-450mW.txt
856.5721,D1-CNR-Phosphate,2.07,573.1356954676,COR-D1-CNR-Phosphate-2.07gL-10sx10-450mW.txt
858.6211,D1-CNR-Phosphate,2.07,620.1290106308,COR-D1-CNR-Phosphate-2.07gL-10sx10-450mW.txt
860.6695,D1-CNR-Phosphate,2.07,602.8409692012,COR-D1-CNR-Phosphate-2.07gL-10sx10-450mW.txt
862.7171,D1-CNR-Phosphate,2.07,687.5191519258,COR-D1-CNR-Phosphate-2.07gL-10sx10-450mW.txt
864.7641,D1-CNR-Phosphate,2.07,831.7439296385,COR-D1-CNR-Phosphate-2.07gL-10sx10-450mW.txt
866.8104,D1-CNR-Phosphate,2.07,898.5228674836,COR-D1-CNR-Phosphate-2.07gL-10sx10-450mW.txt
868.856,D1-CNR-Phosphate,2.07,938.8652007944,COR-D1-CNR-Phosphate-2.07gL-10sx10-450mW.txt
870.9009,D1-CNR-Phosphate,2.07,1125.1883885556,COR-D1-CNR-Phosphate-2.07gL-10sx10-450mW.txt
872.9452,D1-CNR-Phosphate,2.07,1116.9841429736,COR-D1-CNR-Phosphate-2.07gL-10sx10-450mW.txt
874.9887,D1-CNR-Phosphate,2.07,1173.9299011690,COR-D1-CNR-Phosphate-2.07gL-10sx10-450mW.txt
877.0316,D1-CNR-Phosphate,2.07,1187.4278566906,COR-D1-CNR-Phosphate-2.07gL-10sx10-450mW.txt
879.0738,D1-CNR-Phosphate,2.07,1206.9584561090,COR-D1-CNR-Phosphate-2.07gL-10sx10-450mW.txt
881.1153,D1-CNR-Phosphate,2.07,1177.1672389370,COR-D1-CNR-Phosphate-2.07gL-10sx10-450mW.txt
883.1562,D1-CNR-Phosphate,2.07,1071.8233014768,COR-D1-CNR-Phosphate-2.07gL-10sx10-450mW.txt
