Spectrum,Nutrient,Concentration,Intensity,File
782.3585,D1-CNR-Solution,0,-0.0000000000,COR-D1-CNR-10sx10-450mW-.txt
784.4317,D1-CNR-Solution,0,0.0000000000,COR-D1-CNR-10sx10-450mW-.txt
786.5042,D1-CNR-Solution,0,-0.0000000000,COR-D1-CNR-10sx10-450mW-.txt
788.5761,D1-CNR-Solution,0,23.5163159449,COR-D1-CNR-10sx10-450mW-.txt
790.6473,D1-CNR-Solution,0,61.2904720145,COR-D1-CNR-10sx10-450mW-.txt
792.7179,D1-CNR-Solution,0,96.1928831785,COR-D1-CNR-10sx10-450mW-.txt
794.7878,D1-CNR-Solution,0,-0.0000000000,COR-D1-CNR-10sx10-450mW-.txt
796.857,D1-CNR-Solution,0,168.1091656397,COR-D1-CNR-10sx10-450mW-.txt
798.9255,D1-CNR-Solution,0,111.9564447537,COR-D1-CNR-10sx10-450mW-.txt
800.9934,D1-CNR-Solution,0,90.0601527720,COR-D1-CNR-10sx10-450mW-.txt
803.0606,D1-CNR-Solution,0,85.5889390263,COR-D1-CNR-10sx10-450mW-.txt
805.1272,D1-CNR-Solution,0,93.9485736517,COR-D1-CNR-10sx10-450mW-.txt
807.193,D1-CNR-Solution,0,147.1457125632,COR-D1-CNR-10sx10-450mW-.txt
809.2582,D1-CNR-Solution,0,101.1584774662,COR-D1-CNR-10sx10-450mW-.txt
811.3228,D1-CNR-Solution,0,90.4525673046,COR-D1-CNR-10sx10-450mW-.txt
813.3866,D1-CNR-Solution,0,73.5382769227,COR-D1-CNR-10sx10-450mW-.txt
815.4498,D1-CNR-Solution,0,60.2449808064,COR-D1-CNR-10sx10-450mW-.txt
817.5123,D1-CNR-Solution,0,7.6786674769,COR-D1-CNR-10sx10-450mW-.txt
819.5742,D1-CNR-Solution,0,40.3590406833,COR-D1-CNR-10sx10-450mW-.txt
821.6354,D1-CNR-Solution,0,126.9132620652,COR-D1-CNR-10sx10-450mW-.txt
823.6959,D1-CNR-Solution,0,113.9606780727,COR-D1-CNR-10sx10-450mW-.txt
825.7557,D1-CNR-Solution,0,110.7755956533,COR-D1-CNR-10sx10-450mW-.txt
827.8149,D1-CNR-Solution,0,235.7772806344,COR-D1-CNR-10sx10-450mW-.txt
