Spectrum,Nutrient,Concentration,Intensity,File
782.3585,D1-CNR-Sulfate,10.5,0.0000000000,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
784.4317,D1-CNR-Sulfate,10.5,4.7411262528,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
786.5042,D1-CNR-Sulfate,10.5,-0.0000000000,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
788.5761,D1-CNR-Sulfate,10.5,0.0000000000,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
790.6473,D1-CNR-Sulfate,10.5,26.1223477346,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
792.7179,D1-CNR-Sulfate,10.5,39.4588458086,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
794.7878,D1-CNR-Sulfate,10.5,3.4496224991,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
796.857,D1-CNR-Sulfate,10.5,94.5613146599,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
798.9255,D1-CNR-Sulfate,10.5,60.9956989069,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
800.9934,D1-CNR-Sulfate,10.5,27.8743944641,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
803.0606,D1-CNR-Sulfate,10.5,45.5396785538,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
805.1272,D1-CNR-Sulfate,10.5,36.9391138370,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
807.193,D1-CNR-Sulfate,10.5,105.8301001464,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
809.2582,D1-CNR-Sulfate,10.5,22.8428840623,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
811.3228,D1-CNR-Sulfate,10.5,58.4920541759,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
813.3866,D1-CNR-Sulfate,10.5,11.4447166635,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
815.4498,D1-CNR-Sulfate,10.5,22.9079512652,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
817.5123,D1-CNR-Sulfate,10.5,95.0713331726,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
819.5742,D1-CNR-Sulfate,10.5,71.4219292756,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
821.6354,D1-CNR-Sulfate,10.5,110.1365068116,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
823.6959,D1-CNR-Sulfate,10.5,87.7822590393,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
825.7557,D1-CNR-Sulfate,10.5,141.2184991246,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
827.8149,D1-CNR-Sulfate,10.5,241.7060441083,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
829.8733,D1-CNR-Sulfate,10.5,139.3090375661,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
831.9311,D1-CNR-Sulfate,10.5,230.8184308383,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
833.9883,D1-CNR-Sulfate,10.5,202.0807256124,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
836.0447,D1-CNR-Sulfate,10.5,310.4475840335,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
838.1005,D1-CNR-Sulfate,10.5,434.5410976361,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
840.1556,D1-CNR-Sulfate,10.5,522.6435656438,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
842.2101,D1-CNR-Sulfate,10.5,620.7995180607,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
844.2638,D1-CNR-Sulfate,10.5,636.4430292292,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
846.3169,D1-CNR-Sulfate,10.5,723.5403470667,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
848.3693,D1-CNR-Sulfate,10.5,654.5400137956,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
850.421,D1-CNR-Sulfate,10.5,643.5900293718,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
852.4721,D1-CNR-Sulfate,10.5,638.0196717956,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
854.5224,D1-CNR-Sulfate,10.5,578.7324937194,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
856.5721,D1-CNR-Sulfate,10.5,561.6038151518,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
858.6211,D1-CNR-Sulfate,10.5,637.9783158694,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
860.6695,D1-CNR-Sulfate,10.5,637.2921394275,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
862.7171,D1-CNR-Sulfate,10.5,710.4364772059,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
864.7641,D1-CNR-Sulfate,10.5,834.3267210772,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
866.8104,D1-CNR-Sulfate,10.5,886.3128914918,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
868.856,D1-CNR-Sulfate,10.5,894.3146444292,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
870.9009,D1-CNR-Sulfate,10.5,1056.0326616532,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
872.9452,D1-CNR-Sulfate,10.5,1057.5987362766,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
