Spectrum,Nutrient,Concentration,RawIntensity,NormIntensity,File
769.9053,SCINUS-Glucose,0.1,-0.0000000000,0,COR-Glucose-0.1gL-SCINUS-10sx10-450mW.txt
771.9824,SCINUS-Glucose,0.1,-0.0000000000,0,COR-Glucose-0.1gL-SCINUS-10sx10-450mW.txt
774.059,SCINUS-Glucose,0.1,0,0,COR-Glucose-0.1gL-SCINUS-10sx10-450mW.txt
776.1348,SCINUS-Glucose,0.1,92.9064364004,929.0643640039999,COR-Glucose-0.1gL-SCINUS-10sx10-450mW.txt
778.2101,SCINUS-Glucose,0.1,13.5409955052,135.409955052,COR-Glucose-0.1gL-SCINUS-10sx10-450mW.txt
780.2846,SCINUS-Glucose,0.1,45.4343839686,454.343839686,COR-Glucose-0.1gL-SCINUS-10sx10-450mW.txt
782.3585,SCINUS-Glucose,0.1,0.0000000001,1e-9,COR-Glucose-0.1gL-SCINUS-10sx10-450mW.txt
784.4317,SCINUS-Glucose,0.1,5.1519054143,51.519054143,COR-Glucose-0.1gL-SCINUS-10sx10-450mW.txt
786.5042,SCINUS-Glucose,0.1,0,0,COR-Glucose-0.1gL-SCINUS-10sx10-450mW.txt
788.5761,SCINUS-Glucose,0.1,-0.0000000000,0,COR-Glucose-0.1gL-SCINUS-10sx10-450mW.txt
790.6473,SCINUS-Glucose,0.1,58.3696411022,583.696411022,COR-Glucose-0.1gL-SCINUS-10sx10-450mW.txt
792.7179,SCINUS-Glucose,0.1,118.8497323983,1188.497323983,COR-Glucose-0.1gL-SCINUS-10sx10-450mW.txt
794.7878,SCINUS-Glucose,0.1,0.0000000000,0,COR-Glucose-0.1gL-SCINUS-10sx10-450mW.txt
796.857,SCINUS-Glucose,0.1,201.0796483470,2010.7964834699999,COR-Glucose-0.1gL-SCINUS-10sx10-450mW.txt
798.9255,SCINUS-Glucose,0.1,39.3651079494,393.651079494,COR-Glucose-0.1gL-SCINUS-10sx10-450mW.txt
800.9934,SCINUS-Glucose,0.1,0.0000000000,0,COR-Glucose-0.1gL-SCINUS-10sx10-450mW.txt
803.0606,SCINUS-Glucose,0.1,24.4823628416,244.823628416,COR-Glucose-0.1gL-SCINUS-10sx10-450mW.txt
805.1272,SCINUS-Glucose,0.1,82.4439209227,824.439209227,COR-Glucose-0.1gL-SCINUS-10sx10-450mW.txt
807.193,SCINUS-Glucose,0.1,129.1612577180,1291.61257718,COR-Glucose-0.1gL-SCINUS-10sx10-450mW.txt
809.2582,SCINUS-Glucose,0.1,221.9217990587,2219.217990587,COR-Glucose-0.1gL-SCINUS-10sx10-450mW.txt
811.3228,SCINUS-Glucose,0.1,201.6405896787,2016.4058967869998,COR-Glucose-0.1gL-SCINUS-10sx10-450mW.txt
813.3866,SCINUS-Glucose,0.1,168.5196855626,1685.196855626,COR-Glucose-0.1gL-SCINUS-10sx10-450mW.txt
815.4498,SCINUS-Glucose,0.1,243.0683161395,2430.683161395,COR-Glucose-0.1gL-SCINUS-10sx10-450mW.txt
817.5123,SCINUS-Glucose,0.1,285.0180438991,2850.180438991,COR-Glucose-0.1gL-SCINUS-10sx10-450mW.txt
819.5742,SCINUS-Glucose,0.1,304.1581666355,3041.5816663549995,COR-Glucose-0.1gL-SCINUS-10sx10-450mW.txt
821.6354,SCINUS-Glucose,0.1,349.5549704997,3495.549704997,COR-Glucose-0.1gL-SCINUS-10sx10-450mW.txt
823.6959,SCINUS-Glucose,0.1,311.4750656537,3114.750656537,COR-Glucose-0.1gL-SCINUS-10sx10-450mW.txt
825.7557,SCINUS-Glucose,0.1,274.4053709092,2744.0537090919997,COR-Glucose-0.1gL-SCINUS-10sx10-450mW.txt
827.8149,SCINUS-Glucose,0.1,372.6761852161,3726.7618521609998,COR-Glucose-0.1gL-SCINUS-10sx10-450mW.txt
829.8733,SCINUS-Glucose,0.1,263.7326746888,2637.326746888,COR-Glucose-0.1gL-SCINUS-10sx10-450mW.txt
831.9311,SCINUS-Glucose,0.1,298.2094410253,2982.0944102529998,COR-Glucose-0.1gL-SCINUS-10sx10-450mW.txt
833.9883,SCINUS-Glucose,0.1,275.6311049203,2756.311049203,COR-Glucose-0.1gL-SCINUS-10sx10-450mW.txt
836.0447,SCINUS-Glucose,0.1,245.5714290118,2455.714290118,COR-Glucose-0.1gL-SCINUS-10sx10-450mW.txt
838.1005,SCINUS-Glucose,0.1,291.5723741879,2915.7237418789996,COR-Glucose-0.1gL-SCINUS-10sx10-450mW.txt
840.1556,SCINUS-Glucose,0.1,286.3468149588,2863.468149588,COR-Glucose-0.1gL-SCINUS-10sx10-450mW.txt
842.2101,SCINUS-Glucose,0.1,297.8500839715,2978.500839715,COR-Glucose-0.1gL-SCINUS-10sx10-450mW.txt
844.2638,SCINUS-Glucose,0.1,270.7344974647,2707.3449746469996,COR-Glucose-0.1gL-SCINUS-10sx10-450mW.txt
846.3169,SCINUS-Glucose,0.1,398.6228978818,3986.2289788179996,COR-Glucose-0.1gL-SCINUS-10sx10-450mW.txt
848.3693,SCINUS-Glucose,0.1,332.0292262959,3320.292262959,COR-Glucose-0.1gL-SCINUS-10sx10-450mW.txt
850.421,SCINUS-Glucose,0.1,360.9507970495,3609.507970495,COR-Glucose-0.1gL-SCINUS-10sx10-450mW.txt
852.4721,SCINUS-Glucose,0.1,427.9253799840,4279.25379984,COR-Glucose-0.1gL-SCINUS-10sx10-450mW.txt
854.5224,SCINUS-Glucose,0.1,321.5129400989,3215.129400989,COR-Glucose-0.1gL-SCINUS-10sx10-450mW.txt
856.5721,SCINUS-Glucose,0.1,256.6808903749,2566.808903749,COR-Glucose-0.1gL-SCINUS-10sx10-450mW.txt
858.6211,SCINUS-Glucose,0.1,226.9370181103,2269.3701811029996,COR-Glucose-0.1gL-SCINUS-10sx10-450mW.txt
860.6695,SCINUS-Glucose,0.1,121.6465905266,1216.465905266,COR-Glucose-0.1gL-SCINUS-10sx10-450mW.txt
862.7171,SCINUS-Glucose,0.1,75.9825256793,759.8252567929999,COR-Glucose-0.1gL-SCINUS-10sx10-450mW.txt
864.7641,SCINUS-Glucose,0.1,141.8735995273,1418.7359952729998,COR-Glucose-0.1gL-SCINUS-10sx10-450mW.txt
866.8104,SCINUS-Glucose,0.1,120.3379959655,1203.379959655,COR-Glucose-0.1gL-SCINUS-10sx10-450mW.txt
868.856,SCINUS-Glucose,0.1,0.0000000000,0,COR-Glucose-0.1gL-SCINUS-10sx10-450mW.txt
870.9009,SCINUS-Glucose,0.1,47.7976260571,477.97626057099995,COR-Glucose-0.1gL-SCINUS-10sx10-450mW.txt
872.9452,SCINUS-Glucose,0.1,19.8748281736,198.748281736,COR-Glucose-0.1gL-SCINUS-10sx10-450mW.txt
874.9887,SCINUS-Glucose,0.1,14.7202853011,147.202853011,COR-Glucose-0.1gL-SCINUS-10sx10-450mW.txt
877.0316,SCINUS-Glucose,0.1,27.4865505269,274.865505269,COR-Glucose-0.1gL-SCINUS-10sx10-450mW.txt
879.0738,SCINUS-Glucose,0.1,0.0000000000,0,COR-Glucose-0.1gL-SCINUS-10sx10-450mW.txt
881.1153,SCINUS-Glucose,0.1,44.5466758178,445.46675817799996,COR-Glucose-0.1gL-SCINUS-10sx10-450mW.txt
883.1562,SCINUS-Glucose,0.1,87.1460614256,871.4606142559999,COR-Glucose-0.1gL-SCINUS-10sx10-450mW.txt
885.1963,SCINUS-Glucose,0.1,-0.0000000000,0,COR-Glucose-0.1gL-SCINUS-10sx10-450mW.txt
887.2358,SCINUS-Glucose,0.1,0.0000000000,0,COR-Glucose-0.1gL-SCINUS-10sx10-450mW.txt
889.2745,SCINUS-Glucose,0.1,83.5043092150,835.04309215,COR-Glucose-0.1gL-SCINUS-10sx10-450mW.txt
891.3126,SCINUS-Glucose,0.1,38.1332429948,381.33242994799997,COR-Glucose-0.1gL-SCINUS-10sx10-450mW.txt
893.35,SCINUS-Glucose,0.1,69.0675443499,690.675443499,COR-Glucose-0.1gL-SCINUS-10sx10-450mW.txt
895.3868,SCINUS-Glucose,0.1,42.8253738094,428.25373809399997,COR-Glucose-0.1gL-SCINUS-10sx10-450mW.txt
897.4228,SCINUS-Glucose,0.1,186.1546031821,1861.546031821,COR-Glucose-0.1gL-SCINUS-10sx10-450mW.txt
899.4581,SCINUS-Glucose,0.1,72.7457010097,727.457010097,COR-Glucose-0.1gL-SCINUS-10sx10-450mW.txt
901.4928,SCINUS-Glucose,0.1,76.2448001190,762.44800119,COR-Glucose-0.1gL-SCINUS-10sx10-450mW.txt
903.5268,SCINUS-Glucose,0.1,138.8832768698,1388.8327686979999,COR-Glucose-0.1gL-SCINUS-10sx10-450mW.txt
905.5601,SCINUS-Glucose,0.1,141.1232089560,1411.23208956,COR-Glucose-0.1gL-SCINUS-10sx10-450mW.txt
907.5927,SCINUS-Glucose,0.1,23.8266163332,238.266163332,COR-Glucose-0.1gL-SCINUS-10sx10-450mW.txt
909.6246,SCINUS-Glucose,0.1,47.3344113059,473.34411305899994,COR-Glucose-0.1gL-SCINUS-10sx10-450mW.txt
911.6558,SCINUS-Glucose,0.1,62.3893575758,623.893575758,COR-Glucose-0.1gL-SCINUS-10sx10-450mW.txt
913.6863,SCINUS-Glucose,0.1,53.8658885179,538.658885179,COR-Glucose-0.1gL-SCINUS-10sx10-450mW.txt
915.7162,SCINUS-Glucose,0.1,206.3459202366,2063.4592023659998,COR-Glucose-0.1gL-SCINUS-10sx10-450mW.txt
917.7453,SCINUS-Glucose,0.1,100.8746241213,1008.746241213,COR-Glucose-0.1gL-SCINUS-10sx10-450mW.txt
919.7738,SCINUS-Glucose,0.1,80.7827529631,807.827529631,COR-Glucose-0.1gL-SCINUS-10sx10-450mW.txt
921.8016,SCINUS-Glucose,0.1,83.7451700432,837.451700432,COR-Glucose-0.1gL-SCINUS-10sx10-450mW.txt
923.8287,SCINUS-Glucose,0.1,98.1191949254,981.191949254,COR-Glucose-0.1gL-SCINUS-10sx10-450mW.txt
925.8551,SCINUS-Glucose,0.1,0.2331948867,2.331948867,COR-Glucose-0.1gL-SCINUS-10sx10-450mW.txt
927.8808,SCINUS-Glucose,0.1,6.9829842269,69.829842269,COR-Glucose-0.1gL-SCINUS-10sx10-450mW.txt
931.9301,SCINUS-Glucose,0.1,4.7543987244,47.54398724399999,COR-Glucose-0.1gL-SCINUS-10sx10-450mW.txt
933.9537,SCINUS-Glucose,0.1,25.5415488544,255.41548854399997,COR-Glucose-0.1gL-SCINUS-10sx10-450mW.txt
935.9767,SCINUS-Glucose,0.1,29.4809789598,294.809789598,COR-Glucose-0.1gL-SCINUS-10sx10-450mW.txt
937.9989,SCINUS-Glucose,0.1,0.0000000000,0,COR-Glucose-0.1gL-SCINUS-10sx10-450mW.txt
940.0204,SCINUS-Glucose,0.1,-0.0000000000,0,COR-Glucose-0.1gL-SCINUS-10sx10-450mW.txt
942.0413,SCINUS-Glucose,0.1,32.0523212202,320.52321220199997,COR-Glucose-0.1gL-SCINUS-10sx10-450mW.txt
944.0615,SCINUS-Glucose,0.1,92.2397692143,922.397692143,COR-Glucose-0.1gL-SCINUS-10sx10-450mW.txt
