Spectrum,Nutrient,Concentration,RawIntensity,NormIntensity,File
780.2846,SCINUS-Glutamine,0.02,0.0000000000,0,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
782.3585,SCINUS-Glutamine,0.02,0.0000000000,0,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
784.4317,SCINUS-Glutamine,0.02,0,0,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
786.5042,SCINUS-Glutamine,0.02,-0.0000000000,0,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
788.5761,SCINUS-Glutamine,0.02,33.4716879039,1673.5843951949998,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
790.6473,SCINUS-Glutamine,0.02,21.1487931452,1057.4396572599999,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
792.7179,SCINUS-Glutamine,0.02,58.2499062078,2912.49531039,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
794.7878,SCINUS-Glutamine,0.02,-0.0000000000,0,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
796.857,SCINUS-Glutamine,0.02,143.7004663277,7185.023316385001,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
798.9255,SCINUS-Glutamine,0.02,84.4015582663,4220.077913315,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
800.9934,SCINUS-Glutamine,0.02,113.5205144101,5676.025720505,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
803.0606,SCINUS-Glutamine,0.02,94.0779840805,4703.899204025,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
805.1272,SCINUS-Glutamine,0.02,53.3581901278,2667.90950639,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
807.193,SCINUS-Glutamine,0.02,186.0052278715,9300.261393575,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
809.2582,SCINUS-Glutamine,0.02,79.4275929814,3971.3796490699997,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
811.3228,SCINUS-Glutamine,0.02,177.8388602418,8891.94301209,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
813.3866,SCINUS-Glutamine,0.02,199.2871937719,9964.359688595001,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
815.4498,SCINUS-Glutamine,0.02,257.7297101328,12886.48550664,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
817.5123,SCINUS-Glutamine,0.02,292.2395354243,14611.976771215,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
819.5742,SCINUS-Glutamine,0.02,334.3144478546,16715.72239273,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
821.6354,SCINUS-Glutamine,0.02,439.0930830372,21954.65415186,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
823.6959,SCINUS-Glutamine,0.02,435.4928145295,21774.640726474998,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
825.7557,SCINUS-Glutamine,0.02,280.8703619557,14043.518097785,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
827.8149,SCINUS-Glutamine,0.02,394.7249351691,19736.246758455,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
829.8733,SCINUS-Glutamine,0.02,226.8070598995,11340.352994975,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
831.9311,SCINUS-Glutamine,0.02,279.8717326953,13993.586634765,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
833.9883,SCINUS-Glutamine,0.02,245.6301740769,12281.508703845,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
836.0447,SCINUS-Glutamine,0.02,220.5518570168,11027.59285084,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
838.1005,SCINUS-Glutamine,0.02,339.5014655449,16975.073277245,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
840.1556,SCINUS-Glutamine,0.02,331.3441276279,16567.206381394997,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
842.2101,SCINUS-Glutamine,0.02,353.3007375478,17665.03687739,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
844.2638,SCINUS-Glutamine,0.02,276.7730625670,13838.65312835,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
846.3169,SCINUS-Glutamine,0.02,439.4370013327,21971.850066634997,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
848.3693,SCINUS-Glutamine,0.02,310.6596564048,15532.982820239999,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
850.421,SCINUS-Glutamine,0.02,348.3596263437,17417.981317184996,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
852.4721,SCINUS-Glutamine,0.02,327.3888591572,16369.44295786,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
854.5224,SCINUS-Glutamine,0.02,304.0011914054,15200.05957027,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
