Spectrum,Nutrient,Concentration,RawIntensity,NormIntensity,File
780.2846,SCINUS-Lactate,0.05,0.0000000000,0,COR-Lactate-0.05gL-SCINUS-10sx10-450mW.txt
782.3585,SCINUS-Lactate,0.05,-0.0000000000,0,COR-Lactate-0.05gL-SCINUS-10sx10-450mW.txt
784.4317,SCINUS-Lactate,0.05,38.4448695793,768.8973915859999,COR-Lactate-0.05gL-SCINUS-10sx10-450mW.txt
786.5042,SCINUS-Lactate,0.05,0.0000000000,0,COR-Lactate-0.05gL-SCINUS-10sx10-450mW.txt
788.5761,SCINUS-Lactate,0.05,0.0000000001,2e-9,COR-Lactate-0.05gL-SCINUS-10sx10-450mW.txt
790.6473,SCINUS-Lactate,0.05,18.7903664827,375.807329654,COR-Lactate-0.05gL-SCINUS-10sx10-450mW.txt
792.7179,SCINUS-Lactate,0.05,97.7058232574,1954.1164651479999,COR-Lactate-0.05gL-SCINUS-10sx10-450mW.txt
794.7878,SCINUS-Lactate,0.05,0.0000000000,0,COR-Lactate-0.05gL-SCINUS-10sx10-450mW.txt
796.857,SCINUS-Lactate,0.05,165.5545491819,3311.0909836379997,COR-Lactate-0.05gL-SCINUS-10sx10-450mW.txt
798.9255,SCINUS-Lactate,0.05,128.2572866030,2565.1457320600002,COR-Lactate-0.05gL-SCINUS-10sx10-450mW.txt
800.9934,SCINUS-Lactate,0.05,120.2555224427,2405.110448854,COR-Lactate-0.05gL-SCINUS-10sx10-450mW.txt
803.0606,SCINUS-Lactate,0.05,100.3985420050,2007.9708400999998,COR-Lactate-0.05gL-SCINUS-10sx10-450mW.txt
805.1272,SCINUS-Lactate,0.05,38.8495870557,776.991741114,COR-Lactate-0.05gL-SCINUS-10sx10-450mW.txt
807.193,SCINUS-Lactate,0.05,64.9349972678,1298.699945356,COR-Lactate-0.05gL-SCINUS-10sx10-450mW.txt
809.2582,SCINUS-Lactate,0.05,142.4271806458,2848.543612916,COR-Lactate-0.05gL-SCINUS-10sx10-450mW.txt
811.3228,SCINUS-Lactate,0.05,208.0887258521,4161.774517041999,COR-Lactate-0.05gL-SCINUS-10sx10-450mW.txt
813.3866,SCINUS-Lactate,0.05,81.3821385259,1627.642770518,COR-Lactate-0.05gL-SCINUS-10sx10-450mW.txt
815.4498,SCINUS-Lactate,0.05,176.0075952993,3520.1519059859997,COR-Lactate-0.05gL-SCINUS-10sx10-450mW.txt
817.5123,SCINUS-Lactate,0.05,259.2069464359,5184.138928718,COR-Lactate-0.05gL-SCINUS-10sx10-450mW.txt
819.5742,SCINUS-Lactate,0.05,295.5058308145,5910.116616289999,COR-Lactate-0.05gL-SCINUS-10sx10-450mW.txt
821.6354,SCINUS-Lactate,0.05,402.9858404143,8059.716808286,COR-Lactate-0.05gL-SCINUS-10sx10-450mW.txt
823.6959,SCINUS-Lactate,0.05,347.7340166873,6954.6803337460005,COR-Lactate-0.05gL-SCINUS-10sx10-450mW.txt
825.7557,SCINUS-Lactate,0.05,251.5591587030,5031.18317406,COR-Lactate-0.05gL-SCINUS-10sx10-450mW.txt
827.8149,SCINUS-Lactate,0.05,396.8636133329,7937.272266657999,COR-Lactate-0.05gL-SCINUS-10sx10-450mW.txt
829.8733,SCINUS-Lactate,0.05,222.6753033057,4453.506066114,COR-Lactate-0.05gL-SCINUS-10sx10-450mW.txt
831.9311,SCINUS-Lactate,0.05,264.5952110391,5291.904220781999,COR-Lactate-0.05gL-SCINUS-10sx10-450mW.txt
833.9883,SCINUS-Lactate,0.05,303.3169358715,6066.33871743,COR-Lactate-0.05gL-SCINUS-10sx10-450mW.txt
836.0447,SCINUS-Lactate,0.05,207.3480023419,4146.960046838,COR-Lactate-0.05gL-SCINUS-10sx10-450mW.txt
838.1005,SCINUS-Lactate,0.05,259.9266665298,5198.533330595999,COR-Lactate-0.05gL-SCINUS-10sx10-450mW.txt
840.1556,SCINUS-Lactate,0.05,276.4044873719,5528.089747438,COR-Lactate-0.05gL-SCINUS-10sx10-450mW.txt
842.2101,SCINUS-Lactate,0.05,340.8070339246,6816.140678491999,COR-Lactate-0.05gL-SCINUS-10sx10-450mW.txt
844.2638,SCINUS-Lactate,0.05,299.7339357124,5994.678714248,COR-Lactate-0.05gL-SCINUS-10sx10-450mW.txt
846.3169,SCINUS-Lactate,0.05,424.8496164261,8496.992328522,COR-Lactate-0.05gL-SCINUS-10sx10-450mW.txt
848.3693,SCINUS-Lactate,0.05,348.5358207718,6970.716415436,COR-Lactate-0.05gL-SCINUS-10sx10-450mW.txt
850.421,SCINUS-Lactate,0.05,400.5545082164,8011.090164327999,COR-Lactate-0.05gL-SCINUS-10sx10-450mW.txt
852.4721,SCINUS-Lactate,0.05,409.4908847195,8189.81769439,COR-Lactate-0.05gL-SCINUS-10sx10-450mW.txt
854.5224,SCINUS-Lactate,0.05,405.3424752035,8106.849504069999,COR-Lactate-0.05gL-SCINUS-10sx10-450mW.txt
856.5721,SCINUS-Lactate,0.05,300.8252775297,6016.505550593999,COR-Lactate-0.05gL-SCINUS-10sx10-450mW.txt
858.6211,SCINUS-Lactate,0.05,281.0849670942,5621.699341884,COR-Lactate-0.05gL-SCINUS-10sx10-450mW.txt
860.6695,SCINUS-Lactate,0.05,175.4596421571,3509.192843142,COR-Lactate-0.05gL-SCINUS-10sx10-450mW.txt
862.7171,SCINUS-Lactate,0.05,86.8693765005,1737.3875300099999,COR-Lactate-0.05gL-SCINUS-10sx10-450mW.txt
864.7641,SCINUS-Lactate,0.05,195.5107279329,3910.214558658,COR-Lactate-0.05gL-SCINUS-10sx10-450mW.txt
866.8104,SCINUS-Lactate,0.05,140.1488281772,2802.9765635439994,COR-Lactate-0.05gL-SCINUS-10sx10-450mW.txt
868.856,SCINUS-Lactate,0.05,3.0347457247,60.694914493999995,COR-Lactate-0.05gL-SCINUS-10sx10-450mW.txt
