Spectrum,Nutrient,Concentration,RawIntensity,NormIntensity,File
776.1348,SCINUS-glutaMate,0.02,0,0,COR-glutaMate-0.02gL-SCINUS-10sx10-450mW.txt
778.2101,SCINUS-glutaMate,0.02,-0.0000000000,0,COR-glutaMate-0.02gL-SCINUS-10sx10-450mW.txt
780.2846,SCINUS-glutaMate,0.02,55.3102314504,2765.5115725200003,COR-glutaMate-0.02gL-SCINUS-10sx10-450mW.txt
782.3585,SCINUS-glutaMate,0.02,0.0000000000,0,COR-glutaMate-0.02gL-SCINUS-10sx10-450mW.txt
784.4317,SCINUS-glutaMate,0.02,49.0301067408,2451.50533704,COR-glutaMate-0.02gL-SCINUS-10sx10-450mW.txt
786.5042,SCINUS-glutaMate,0.02,12.0002320820,600.0116041,COR-glutaMate-0.02gL-SCINUS-10sx10-450mW.txt
788.5761,SCINUS-glutaMate,0.02,69.2139768461,3460.6988423049997,COR-glutaMate-0.02gL-SCINUS-10sx10-450mW.txt
790.6473,SCINUS-glutaMate,0.02,105.6347187501,5281.735937505,COR-glutaMate-0.02gL-SCINUS-10sx10-450mW.txt
792.7179,SCINUS-glutaMate,0.02,40.2391942050,2011.9597102499997,COR-glutaMate-0.02gL-SCINUS-10sx10-450mW.txt
794.7878,SCINUS-glutaMate,0.02,0.0000000000,0,COR-glutaMate-0.02gL-SCINUS-10sx10-450mW.txt
796.857,SCINUS-glutaMate,0.02,136.8051633246,6840.258166229999,COR-glutaMate-0.02gL-SCINUS-10sx10-450mW.txt
798.9255,SCINUS-glutaMate,0.02,126.0726926109,6303.634630545001,COR-glutaMate-0.02gL-SCINUS-10sx10-450mW.txt
800.9934,SCINUS-glutaMate,0.02,115.4535489442,5772.67744721,COR-glutaMate-0.02gL-SCINUS-10sx10-450mW.txt
803.0606,SCINUS-glutaMate,0.02,62.3250139553,3116.250697765,COR-glutaMate-0.02gL-SCINUS-10sx10-450mW.txt
805.1272,SCINUS-glutaMate,0.02,57.2680527396,2863.40263698,COR-glutaMate-0.02gL-SCINUS-10sx10-450mW.txt
807.193,SCINUS-glutaMate,0.02,155.5271211834,7776.35605917,COR-glutaMate-0.02gL-SCINUS-10sx10-450mW.txt
809.2582,SCINUS-glutaMate,0.02,150.4179188367,7520.8959418350005,COR-glutaMate-0.02gL-SCINUS-10sx10-450mW.txt
811.3228,SCINUS-glutaMate,0.02,197.7373928424,9886.86964212,COR-glutaMate-0.02gL-SCINUS-10sx10-450mW.txt
813.3866,SCINUS-glutaMate,0.02,214.0786106981,10703.930534905,COR-glutaMate-0.02gL-SCINUS-10sx10-450mW.txt
815.4498,SCINUS-glutaMate,0.02,230.0188593872,11500.94296936,COR-glutaMate-0.02gL-SCINUS-10sx10-450mW.txt
817.5123,SCINUS-glutaMate,0.02,229.8920270605,11494.601353025,COR-glutaMate-0.02gL-SCINUS-10sx10-450mW.txt
819.5742,SCINUS-glutaMate,0.02,269.9353303954,13496.766519769999,COR-glutaMate-0.02gL-SCINUS-10sx10-450mW.txt
821.6354,SCINUS-glutaMate,0.02,347.6869100918,17384.345504589997,COR-glutaMate-0.02gL-SCINUS-10sx10-450mW.txt
823.6959,SCINUS-glutaMate,0.02,264.4336536402,13221.682682010001,COR-glutaMate-0.02gL-SCINUS-10sx10-450mW.txt
825.7557,SCINUS-glutaMate,0.02,279.9456165115,13997.280825575,COR-glutaMate-0.02gL-SCINUS-10sx10-450mW.txt
827.8149,SCINUS-glutaMate,0.02,398.8115465397,19940.577326985,COR-glutaMate-0.02gL-SCINUS-10sx10-450mW.txt
829.8733,SCINUS-glutaMate,0.02,252.0924130436,12604.62065218,COR-glutaMate-0.02gL-SCINUS-10sx10-450mW.txt
831.9311,SCINUS-glutaMate,0.02,294.7207489829,14736.037449144998,COR-glutaMate-0.02gL-SCINUS-10sx10-450mW.txt
833.9883,SCINUS-glutaMate,0.02,250.4235683608,12521.178418039999,COR-glutaMate-0.02gL-SCINUS-10sx10-450mW.txt
836.0447,SCINUS-glutaMate,0.02,255.3359239233,12766.796196165,COR-glutaMate-0.02gL-SCINUS-10sx10-450mW.txt
838.1005,SCINUS-glutaMate,0.02,286.9967604059,14349.838020295,COR-glutaMate-0.02gL-SCINUS-10sx10-450mW.txt
840.1556,SCINUS-glutaMate,0.02,331.1174104860,16555.8705243,COR-glutaMate-0.02gL-SCINUS-10sx10-450mW.txt
842.2101,SCINUS-glutaMate,0.02,330.8705068831,16543.525344155,COR-glutaMate-0.02gL-SCINUS-10sx10-450mW.txt
844.2638,SCINUS-glutaMate,0.02,327.9368627936,16396.84313968,COR-glutaMate-0.02gL-SCINUS-10sx10-450mW.txt
846.3169,SCINUS-glutaMate,0.02,476.6101725998,23830.50862999,COR-glutaMate-0.02gL-SCINUS-10sx10-450mW.txt
848.3693,SCINUS-glutaMate,0.02,447.9639995106,22398.19997553,COR-glutaMate-0.02gL-SCINUS-10sx10-450mW.txt
850.421,SCINUS-glutaMate,0.02,457.2726861817,22863.634309085,COR-glutaMate-0.02gL-SCINUS-10sx10-450mW.txt
852.4721,SCINUS-glutaMate,0.02,580.2896275824,29014.481379120003,COR-glutaMate-0.02gL-SCINUS-10sx10-450mW.txt
854.5224,SCINUS-glutaMate,0.02,494.1748584430,24708.74292215,COR-glutaMate-0.02gL-SCINUS-10sx10-450mW.txt
856.5721,SCINUS-glutaMate,0.02,378.7208398756,18936.04199378,COR-glutaMate-0.02gL-SCINUS-10sx10-450mW.txt
858.6211,SCINUS-glutaMate,0.02,414.6211701485,20731.058507425,COR-glutaMate-0.02gL-SCINUS-10sx10-450mW.txt
860.6695,SCINUS-glutaMate,0.02,226.3231641548,11316.15820774,COR-glutaMate-0.02gL-SCINUS-10sx10-450mW.txt
862.7171,SCINUS-glutaMate,0.02,179.4200972755,8971.004863775,COR-glutaMate-0.02gL-SCINUS-10sx10-450mW.txt
864.7641,SCINUS-glutaMate,0.02,239.3691854783,11968.459273915001,COR-glutaMate-0.02gL-SCINUS-10sx10-450mW.txt
