Spectrum,Nutrient,Concentration,Intensity,File
780.2846,Solution-Glutamine,0.02,0.0000000000,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
782.3585,Solution-Glutamine,0.02,0.0000000000,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
784.4317,Solution-Glutamine,0.02,0,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
786.5042,Solution-Glutamine,0.02,-0.0000000000,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
788.5761,Solution-Glutamine,0.02,33.4716879039,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
790.6473,Solution-Glutamine,0.02,21.1487931452,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
792.7179,Solution-Glutamine,0.02,58.2499062078,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
794.7878,Solution-Glutamine,0.02,-0.0000000000,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
796.857,Solution-Glutamine,0.02,143.7004663277,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
798.9255,Solution-Glutamine,0.02,84.4015582663,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
800.9934,Solution-Glutamine,0.02,113.5205144101,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
803.0606,Solution-Glutamine,0.02,94.0779840805,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
805.1272,Solution-Glutamine,0.02,53.3581901278,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
807.193,Solution-Glutamine,0.02,186.0052278715,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
809.2582,Solution-Glutamine,0.02,79.4275929814,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
811.3228,Solution-Glutamine,0.02,177.8388602418,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
813.3866,Solution-Glutamine,0.02,199.2871937719,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
815.4498,Solution-Glutamine,0.02,257.7297101328,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
817.5123,Solution-Glutamine,0.02,292.2395354243,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
819.5742,Solution-Glutamine,0.02,334.3144478546,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
821.6354,Solution-Glutamine,0.02,439.0930830372,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
823.6959,Solution-Glutamine,0.02,435.4928145295,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
825.7557,Solution-Glutamine,0.02,280.8703619557,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
827.8149,Solution-Glutamine,0.02,394.7249351691,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
829.8733,Solution-Glutamine,0.02,226.8070598995,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
831.9311,Solution-Glutamine,0.02,279.8717326953,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
833.9883,Solution-Glutamine,0.02,245.6301740769,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
836.0447,Solution-Glutamine,0.02,220.5518570168,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
838.1005,Solution-Glutamine,0.02,339.5014655449,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
840.1556,Solution-Glutamine,0.02,331.3441276279,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
842.2101,Solution-Glutamine,0.02,353.3007375478,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
844.2638,Solution-Glutamine,0.02,276.7730625670,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
846.3169,Solution-Glutamine,0.02,439.4370013327,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
848.3693,Solution-Glutamine,0.02,310.6596564048,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
850.421,Solution-Glutamine,0.02,348.3596263437,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
852.4721,Solution-Glutamine,0.02,327.3888591572,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
854.5224,Solution-Glutamine,0.02,304.0011914054,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
856.5721,Solution-Glutamine,0.02,171.7536484822,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
858.6211,Solution-Glutamine,0.02,323.1870754752,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
860.6695,Solution-Glutamine,0.02,198.1747649051,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
862.7171,Solution-Glutamine,0.02,88.0185004420,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
864.7641,Solution-Glutamine,0.02,129.5011796046,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
866.8104,Solution-Glutamine,0.02,124.6966691692,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
868.856,Solution-Glutamine,0.02,52.5309189031,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
870.9009,Solution-Glutamine,0.02,97.8667157533,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
872.9452,Solution-Glutamine,0.02,0.0000000000,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
